model,system,seed,step,metric,param_count,value
HNN-Adaptive,pendulum,456,1000,trajectory_mse,343,1.604900e1
HNN-Adaptive,pendulum,456,0,inference_us,343,4.61
HNN-Adaptive,pendulum,456,0,memory_bytes,343,232
MLP-FP32,pendulum,456,1000,energy_drift,354,6.024007e-1
MLP-FP32,pendulum,456,0,inference_us,354,1.90
MLP-FP32,pendulum,456,0,memory_bytes,354,1416
HNN-FP32,double_pendulum,42,1,energy_drift,369,6.315107e-5
HNN-FP32,double_pendulum,42,10,energy_drift,369,6.342761e-4
HNN-FP32,double_pendulum,42,100,energy_drift,369,6.584412e-3
HNN-FP32,double_pendulum,42,1000,energy_drift,369,1.004895e-1
HNN-FP32,double_pendulum,42,1,trajectory_mse,369,2.744636e-5
HNN-FP32,double_pendulum,42,10,trajectory_mse,369,2.728165e-3
HNN-FP32,double_pendulum,42,100,trajectory_mse,369,2.240003e-1
HNN-FP32,double_pendulum,42,1000,trajectory_mse,369,4.840889e-1
HNN-FP32,double_pendulum,42,0,inference_us,369,2.52
HNN-FP32,double_pendulum,42,0,memory_bytes,369,1476
HNN-Ternary,double_pendulum,42,1,energy_drift,369,1.338305e-3
HNN-Ternary,double_pendulum,42,10,energy_drift,369,1.354752e-2
HNN-Ternary,double_pendulum,42,100,energy_drift,369,4.506244e-1
HNN-Ternary,double_pendulum,42,1000,energy_drift,369,2.642987e1
HNN-Ternary,double_pendulum,42,1,trajectory_mse,369,3.611008e-5
HNN-Ternary,double_pendulum,42,10,trajectory_mse,369,3.736334e-3
HNN-Ternary,double_pendulum,42,100,trajectory_mse,369,6.763923e-1
HNN-Ternary,double_pendulum,42,1000,trajectory_mse,369,1.349954e2
HNN-Ternary,double_pendulum,42,0,inference_us,369,2.66
HNN-Ternary,double_pendulum,42,0,memory_bytes,369,216
HNN-Adaptive,double_pendulum,42,1,energy_drift,375,8.096021e-4
HNN-Adaptive,double_pendulum,42,10,energy_drift,375,8.233725e-3
HNN-Adaptive,double_pendulum,42,100,energy_drift,375,1.016708e-1
HNN-Adaptive,double_pendulum,42,1000,energy_drift,375,2.224679e0
HNN-Adaptive,double_pendulum,42,1,trajectory_mse,375,1.533710e-5
HNN-Adaptive,double_pendulum,42,10,trajectory_mse,375,1.500859e-3
HNN-Adaptive,double_pendulum,42,100,trajectory_mse,375,1.377338e-1
HNN-Adaptive,double_pendulum,42,1000,trajectory_mse,375,3.551470e0
HNN-Adaptive,double_pendulum,42,0,inference_us,375,2.78
HNN-Adaptive,double_pendulum,42,0,memory_bytes,375,240
MLP-FP32,double_pendulum,42,1000,energy_drift,420,6.163939e-2
MLP-FP32,double_pendulum,42,0,inference_us,420,2.00
MLP-FP32,double_pendulum,42,0,memory_bytes,420,1680
HNN-FP32,double_pendulum,123,1,energy_drift,369,2.976322e-5
HNN-FP32,double_pendulum,123,10,energy_drift,369,2.968349e-4
HNN-FP32,double_pendulum,123,100,energy_drift,369,2.922626e-3
HNN-FP32,double_pendulum,123,1000,energy_drift,369,2.608668e-2
HNN-FP32,double_pendulum,123,1,trajectory_mse,369,2.683690e-5
HNN-FP32,double_pendulum,123,10,trajectory_mse,369,2.664519e-3
HNN-FP32,double_pendulum,123,100,trajectory_mse,369,2.168604e-1
HNN-FP32,double_pendulum,123,1000,trajectory_mse,369,3.479832e-1
HNN-FP32,double_pendulum,123,0,inference_us,369,1.64
HNN-FP32,double_pendulum,123,0,memory_bytes,369,1476
HNN-Ternary,double_pendulum,123,1,energy_drift,369,2.544099e-3
HNN-Ternary,double_pendulum,123,10,energy_drift,369,2.825136e-2
HNN-Ternary,double_pendulum,123,100,energy_drift,369,5.490885e-1
HNN-Ternary,double_pendulum,123,1000,energy_drift,369,5.999175e1
HNN-Ternary,double_pendulum,123,1,trajectory_mse,369,7.684503e-5
HNN-Ternary,double_pendulum,123,10,trajectory_mse,369,7.367175e-3
HNN-Ternary,double_pendulum,123,100,trajectory_mse,369,4.730770e-1
