model,system,seed,epoch,train_loss,val_loss
HNN-Adaptive,double_pendulum,123,100,2.302784e0,1.978927e0
HNN-Adaptive,double_pendulum,123,150,1.220650e0,1.206077e0
HNN-Adaptive,double_pendulum,123,199,1.220097e0,1.231398e0
MLP-FP32,double_pendulum,123,0,1.206680e0,1.124295e0
MLP-FP32,double_pendulum,123,50,1.204269e0,1.121991e0
MLP-FP32,double_pendulum,123,100,1.201903e0,1.119702e0
MLP-FP32,double_pendulum,123,150,1.199578e0,1.117434e0
MLP-FP32,double_pendulum,123,199,1.197241e0,1.115167e0
HNN-FP32,double_pendulum,456,0,1.217021e0,1.135906e0
HNN-FP32,double_pendulum,456,50,1.216672e0,1.135559e0
HNN-FP32,double_pendulum,456,100,1.216399e0,1.135443e0
HNN-FP32,double_pendulum,456,150,1.216164e0,1.135131e0
HNN-FP32,double_pendulum,456,199,1.215835e0,1.134916e0
HNN-Ternary,double_pendulum,456,0,3.729055e1,3.724092e1
HNN-Ternary,double_pendulum,456,50,3.729055e1,3.724092e1
HNN-Ternary,double_pendulum,456,100,3.729055e1,3.724092e1
HNN-Adaptive,double_pendulum,456,0,2.289845e2,2.536731e2
HNN-Adaptive,double_pendulum,456,50,2.673359e1,2.860604e1
HNN-Adaptive,double_pendulum,456,100,1.208405e0,1.120896e0
HNN-Adaptive,double_pendulum,456,150,1.206317e0,1.126079e0
HNN-Adaptive,double_pendulum,456,199,1.210382e0,1.116291e0
MLP-FP32,double_pendulum,456,0,1.191221e0,1.111245e0
MLP-FP32,double_pendulum,456,50,1.189229e0,1.109598e0
MLP-FP32,double_pendulum,456,100,1.187315e0,1.107984e0
MLP-FP32,double_pendulum,456,150,1.185322e0,1.106315e0
MLP-FP32,double_pendulum,456,199,1.183334e0,1.104668e0
